YEAR  ACCESS-ESM1.5  CanESM5  CESM2  CNRM-ESM2-1  IPSL-CM6A-LR  MIROC-ES2L  MPI-ESM1.2-LR  NorESM2-LM  UKESM1-0-LL 
1850.00 287.6800 286.5460 287.1120 286.7290 285.8730 288.1130 286.6500 287.6220 286.5340 
1851.00 287.6560 286.5630 287.1470 286.7990 285.9120 288.1340 286.6420 287.6650 286.5430 
1852.00 287.5620 286.5520 287.1340 286.8430 285.9330 288.1550 286.5910 287.7170 286.5320 
1853.00 287.6700 286.5770 287.1110 286.7370 285.9230 288.1680 286.6640 287.7890 286.5800 
1854.00 287.7450 286.5660 287.0770 286.7560 285.9310 288.1050 286.6220 287.7930 286.5710 
1855.00 287.6290 286.5790 287.1280 286.7080 285.9370 288.1690 286.6310 287.6790 286.5440 
1856.00 287.6880 286.6090 287.1700 286.7240 285.9210 288.2790 286.6710 287.7690 286.5880 
1857.00 287.6250 286.5780 287.2030 286.7450 285.9380 288.2790 286.6860 287.8230 286.5620 
1858.00 287.6050 286.5880 287.1810 286.6580 285.9180 288.1390 286.6430 287.7680 286.5990 
1859.00 287.6290 286.6320 287.2190 286.7630 285.9620 288.1880 286.6710 287.6630 286.6320 
1860.00 287.5830 286.6050 287.2220 286.7740 285.9700 288.2520 286.6960 287.6490 286.6230 
1861.00 287.6150 286.5500 287.1770 286.7290 285.9190 288.1840 286.7040 287.6310 286.5440 
1862.00 287.6570 286.5010 287.0800 286.6780 285.8370 288.1350 286.5980 287.6740 286.5050 
1863.00 287.7170 286.5130 287.0920 286.7100 285.9020 288.1390 286.6000 287.7160 286.5160 
1864.00 287.7650 286.5000 287.0990 286.7990 285.9450 288.1990 286.6370 287.8200 286.5350 
1865.00 287.7550 286.4940 287.1530 286.7020 285.9490 288.3640 286.6510 287.6690 286.5260 
1866.00 287.7340 286.5440 287.1980 286.7390 285.9470 288.2150 286.6380 287.5970 286.5630 
1867.00 287.6770 286.5790 287.1440 286.7750 285.9770 288.0910 286.6070 287.6360 286.5590 
1868.00 287.6980 286.5830 287.1820 286.7650 285.9830 288.1050 286.6500 287.9220 286.5440 
1869.00 287.6820 286.5940 287.1650 286.7520 285.9850 288.2170 286.6970 287.8690 286.5410 
1870.00 287.6500 286.5780 287.2070 286.7780 285.9830 288.2700 286.6870 287.6910 286.5420 
1871.00 287.7160 286.6170 287.2400 286.7880 285.9810 288.2820 286.6510 287.6560 286.5460 
1872.00 287.6940 286.6010 287.2110 286.7720 286.0060 288.3280 286.6460 287.6960 286.5730 
1873.00 287.6880 286.5700 287.2220 286.7840 285.9730 288.1820 286.6840 287.7110 286.5610 
1874.00 287.7390 286.5650 287.1800 286.7580 285.9450 288.1360 286.7100 287.6600 286.5560 
1875.00 287.6680 286.5810 287.1870 286.7600 285.9610 288.2750 286.6930 287.7440 286.5100 
1876.00 287.7030 286.6030 287.2940 286.7420 285.9930 288.3740 286.6920 287.7950 286.5050 
1877.00 287.7510 286.6160 287.2840 286.8050 285.9610 288.2710 286.6540 287.8830 286.5310 
1878.00 287.6670 286.6590 287.2070 286.8160 285.9860 288.1450 286.6790 287.8000 286.5490 
1879.00 287.6790 286.6560 287.2030 286.7280 285.9920 288.1950 286.7530 287.6630 286.5190 
1880.00 287.6660 286.6300 287.2670 286.7520 286.0040 288.2100 286.7030 287.6690 286.5330 
1881.00 287.6360 286.5820 287.2780 286.8030 285.9830 288.2140 286.6890 287.7140 286.5380 
1882.00 287.7250 286.5770 287.2140 286.7640 286.0080 288.2110 286.6930 287.7140 286.4960 
1883.00 287.7650 286.5420 287.2540 286.7750 285.9770 288.1580 286.6440 287.7840 286.4960 
1884.00 287.5050 286.2450 287.0520 286.6410 285.6900 287.9620 286.3870 287.4450 286.2780 
1885.00 287.5010 286.2920 287.0030 286.6260 285.7300 287.9920 286.5120 287.6180 286.3200 
1886.00 287.6930 286.3660 287.0250 286.6880 285.8090 288.0100 286.4980 287.6570 286.3840 
1887.00 287.6420 286.4210 287.1080 286.6950 285.8570 288.0960 286.5640 287.6350 286.4060 
1888.00 287.6750 286.4960 287.1770 286.7170 285.9280 288.1700 286.6600 287.5330 286.4440 
1889.00 287.6810 286.5250 287.1970 286.7120 285.9350 288.1000 286.7160 287.5590 286.4720 
1890.00 287.6990 286.5190 287.1860 286.7340 285.9110 288.0980 286.6600 287.7710 286.4640 
1891.00 287.6040 286.4860 287.2340 286.7270 285.8550 288.0060 286.5820 287.6370 286.4320 
1892.00 287.6430 286.4920 287.2290 286.6700 285.8940 288.1160 286.6320 287.5730 286.4630 
1893.00 287.6430 286.5420 287.2600 286.7880 285.9450 288.0980 286.6400 287.5850 286.4860 
1894.00 287.6650 286.5580 287.2430 286.8490 286.0160 288.0510 286.6140 287.7460 286.5140 
1895.00 287.7220 286.6290 287.2010 286.7370 286.0080 288.1640 286.6990 287.7690 286.5300 
1896.00 287.7040 286.6230 287.1960 286.7740 285.9950 288.1590 286.7030 287.7010 286.5240 
1897.00 287.6330 286.6110 287.2440 286.7780 286.0240 288.1900 286.6980 287.7650 286.5200 
1898.00 287.6600 286.6120 287.2680 286.8170 286.0050 288.2090 286.7140 287.7570 286.5510 
1899.00 287.7080 286.6220 287.2970 286.7880 286.0140 288.1590 286.7010 287.7570 286.5110 
1900.00 287.8010 286.6250 287.2710 286.8120 286.0500 288.2130 286.7110 287.7580 286.4880 
1901.00 287.7420 286.6430 287.2750 286.8160 286.0480 288.2590 286.7370 287.7300 286.4760 
1902.00 287.7350 286.6250 287.2860 286.7620 286.0370 288.3050 286.7310 287.6030 286.5510 
1903.00 287.6390 286.4490 287.1170 286.6700 285.8560 287.9930 286.6150 287.5420 286.3860 
1904.00 287.5540 286.4790 287.1210 286.7220 285.9200 288.1180 286.6080 287.6380 286.3760 
1905.00 287.6010 286.5430 287.1670 286.6770 285.9700 288.1530 286.6420 287.6280 286.4360 
1906.00 287.6800 286.5530 287.2120 286.7220 285.9930 288.0960 286.6880 287.6990 286.4860 
